Date,open,high,low,close,volume
2010-01-04,10.550983558508026,10.76551398972409,10.511978110101763,10.580238342285156,34412700
2010-01-05,10.589990475105513,11.009299801078111,10.365709348166087,10.89228343963623,60659000
2010-01-06,10.804520491351083,11.058056395687998,10.716757991391125,10.9410400390625,32060400
2010-01-07,10.950789921753508,10.970293111445113,10.297448876460317,10.570487022399902,46461800
2010-01-08,10.482723932602205,10.892281593203256,10.355955996705385,10.82402229309082,32433400
2010-01-11,10.970293328356728,11.038552633700473,10.550984041329063,10.628994941711426,29135200
2010-01-12,10.385208530090257,10.394960123142504,9.88788937394592,10.004905700683594,46116000
2010-01-13,10.053663814120211,10.297448086790832,9.722117054494056,10.199934005737305,33519600
2010-01-14,10.17068391945334,10.677754910787908,10.17068391945334,10.463224411010742,33723700
2010-01-15,10.433968384178412,10.433968384178412,9.790377948270407,9.878140449523926,30994100
2010-01-19,9.887892574410305,10.043914393894243,9.790378472251144,10.02441120147705,18545400
2010-01-20,9.75137193414716,9.819631240097936,9.488084445542805,9.731868743896484,42195400
2010-01-21,9.819633512890318,9.985406948536792,9.517341433744525,9.556346893310547,38274500
2010-01-22,9.45883165803843,9.46858325426473,8.863998237685156,8.903003692626953,44447500
2010-01-25,9.049271146736862,9.185790662234544,8.942006410964972,9.098028182983398,23995600
2010-01-26,9.127282763143587,9.497834966321811,9.039521206832568,9.205293655395508,25159600
2010-01-27,9.244298917471792,9.497834777224353,9.117531917558685,9.47833251953125,21637400
2010-01-28,9.48808354473266,9.507586733131681,8.873747989574852,9.166288375854492,32249900
2010-01-29,9.215047465458612,9.263804517331991,8.356926514362778,8.50319766998291,42655600
2010-02-01,8.620212823364884,8.971261873515372,8.620212823364884,8.942008018493652,19407600
2010-02-02,9.039521832451538,9.263802930707353,9.02001864305716,9.117532730102539,21667700
2010-02-03,8.932254899652976,9.088276673102493,8.707973832810076,8.795736312866211,25361500
2010-02-04,8.883497842432554,8.951758065631335,8.337421636621036,8.395929336547852,26692400
2010-02-05,8.41543287311528,8.49344376290381,8.064383869066898,8.483692169189453,36413100
2010-02-08,8.55195131192467,8.824989391597946,8.376426367153185,8.688469886779785,20271500
2010-02-09,8.942009603788206,9.049274377859927,8.620214351609592,8.854247093200684,20847800
2010-02-10,8.395931314012243,8.512947671389451,7.976622932568084,8.327672004699707,70622100
2010-02-11,8.356925180420058,8.561704021630462,8.21065497811117,8.317919731140137,50941600
2010-02-12,8.210654639644147,8.522698221020175,8.113140555482525,8.230156898498535,44233500
2010-02-16,8.42518452377294,8.493443820308457,8.278913406958473,8.415432929992676,25227300
