Date,open,high,low,close,volume
2010-01-04,9.988492752643548,10.181640443748329,9.988492752643548,10.08046817779541,5172900
2010-01-05,10.034482257256803,10.319605424432996,9.95170453526556,10.117259979248047,6131900
2010-01-06,10.034479623299935,10.246022732543121,9.979295074553077,10.02528190612793,5843800
2010-01-07,9.93330819926656,10.098862736540186,9.896518204634349,10.08046817779541,4347200
2010-01-08,9.997690174718597,10.190837860107422,9.997690174718597,10.190837860107422,4084500
2010-01-11,10.494358296810171,10.613926026679927,10.36559372398341,10.595531463623047,7892800
2010-01-12,10.613921326105846,10.641513597042845,10.108058347500977,10.172441482543945,5991400
2010-01-13,10.301208744459668,10.374788738001737,9.868925624542971,10.034481048583984,6349700
2010-01-14,9.951702205428468,10.089665335495654,9.7677522424815,9.933307647705078,5130900
2010-01-15,9.93330929608174,9.997691574511402,9.409050718256857,9.501026153564453,5314700
2010-01-19,9.56540648740297,9.730961886443097,9.445839673810191,9.712567329406738,5055300
2010-01-20,9.574609289662458,9.638991589197662,9.445844690592052,9.565411567687988,6742500
2010-01-21,9.55621326785695,9.813743303930076,9.381460085521574,9.593003273010254,7504500
2010-01-22,9.519420623392948,9.519420623392948,8.939977545024949,8.976767539978027,6836600
2010-01-25,9.059548170647954,9.298682776419879,8.99516500085213,9.11473274230957,3992700
2010-01-26,9.087139431893332,9.427447175913052,9.00436170659124,9.307879447937012,6601200
2010-01-27,9.298680451518145,9.473433598087514,9.114730463399916,9.436643600463867,6750500
2010-01-28,9.914915182881153,9.914915182881153,8.516894168560256,8.728436470031738,15228400
2010-01-29,8.958376151841057,9.142326209725695,8.489302846377926,8.590476036071777,9828100
2010-02-01,8.608867007064092,8.912384695069568,8.59047244753121,8.866397857666016,7691500
2010-02-02,8.8939916145837,9.197509353063362,8.82041160993062,9.013559341430664,5874400
2010-02-03,9.01355882704409,9.14232338926721,8.792818825682062,8.848003387451172,4865900
2010-02-04,8.79281779021575,8.79281779021575,8.25936153403126,8.34213924407959,8511400
2010-02-05,8.342140124371571,8.599670999951426,8.2317701250414,8.553683280944824,7401200
2010-02-08,8.544486154060586,8.783621607758727,8.461708429538703,8.507696151733398,4570000
2010-02-09,8.73762929859503,8.765221566569672,8.461703987421446,8.572073936462402,6137400
2010-02-10,8.553684980553491,8.682449566786028,8.443314959292906,8.608869552612305,4853600
2010-02-11,8.572076815050389,8.97676764124212,8.526089978697279,8.939977645874023,4922500
2010-02-12,8.820411136041981,9.151521139191502,8.69164569624577,9.022756576538086,4757300
2010-02-16,9.068743991984933,9.335471730656758,9.050349429219386,9.307879447937012,3847400
2010-02-17,9.317076531763178,9.381458812761139,9.15152109246237,9.197508811950684,2417400
2010-02-18,9.114732612285401,9.206708066599976,9.059548041411007,9.169918060302734,3525600
2010-02-19,9.11472948303631,9.298679451369217,9.050347213405452,9.261889457702637,3482300
2010-02-22,9.307879666807095,9.34466967034614,9.169917372821395,9.234299659729004,2293400
2010-02-23,9.234297819750623,9.234297819750623,8.774422428573514,8.866397857666016,4057900
2010-02-24,8.903186974959805,9.261889183295862,8.838803830093822,9.17911148071289,4306700
2010-02-25,8.967572386307138,9.234300145275686,8.857202369886663,9.225102424621582,4439000
2010-02-26,9.280288947108225,9.280288947108225,8.99516571378202,9.188313484191895,4775800
2010-03-01,9.243499737830723,9.574609854145253,9.243499737830723,9.556215286254883,4227300
2010-03-02,9.510222314936359,9.81373997374134,9.510222314936359,9.74015998840332,6375700
2010-03-03,9.813741619003714,9.87812389768244,9.629791624819665,9.675779342651367,4719900
2010-03-04,9.767751877658393,9.786147311837333,9.501024222061847,9.712567329406738,4797100
2010-03-05,9.786148832455732,9.97009881711524,9.666581123141372,9.841333389282227,3330200
2010-03-08,9.841334069652104,9.887321788281971,9.73096407122609,9.776951789855957,2809300
2010-03-09,9.684972212092852,9.979292959210811,9.657379943568243,9.942502975463867,6680600
2010-03-10,9.887321149947285,10.11725885110885,9.887321149947285,10.01608657836914,3948300
2010-03-11,9.97929372827763,9.97929372827763,9.74935609285319,9.804540634155273,6256200
2010-03-12,9.795349591258649,9.878127336746182,9.54701723193912,9.648189544677734,6621700
2010-03-15,9.59299997212191,9.63898680488259,9.243494604856574,9.372259140014648,5354800
2010-03-16,9.399853624009229,9.795345880068409,9.390655905296919,9.767753601074219,8933000
2010-03-17,9.795345159581387,10.108060555656522,9.776950600652498,10.043678283691406,5969300
2010-03-18,9.997687512513084,10.071267480006973,9.850527577525304,9.942502975463867,3122700
2010-03-19,9.804540634155273,9.98849056706633,9.510220741497582,9.804540634155273,5946300
2010-03-22,9.730963775270158,10.227629191653111,9.657383778557332,10.21843147277832,7822700
2010-03-23,10.218431942446394,10.577135100765497,10.190839661696552,10.55873966217041,5073500
2010-03-24,10.475963410725738,10.475963410725738,10.17244567393185,10.200037956237793,3958200
2010-03-25,10.393185375323053,10.46676537736327,10.264419933181266,10.292012214660645,5553600
2010-03-26,10.328800979294737,10.439171846286179,10.052876443244259,10.227628707885742,3537000
2010-03-29,10.282814141381463,10.347196416174214,10.163246433092992,10.227628707885742,2851500
2010-03-30,10.264423133587162,10.383990893468965,10.172448540930988,10.338003158569336,2749100
2010-03-31,10.301212894878443,10.46676838562273,10.2184351495063,10.27362060546875,2749500
2010-04-01,10.402386338286053,10.577138678332943,10.200040831013531,10.338003158569336,2667300
2010-04-05,10.36559430776851,10.567938898504474,10.31040886120412,10.549544334411621,5412600
2010-04-06,10.448366916412008,10.595527755073494,10.356392379033958,10.540342330932617,3318800
2010-04-07,10.512752492869522,10.696702487382943,10.411579338030068,10.687504768371582,4934200
2010-04-08,10.595529445371803,10.6415162828258,10.264418601989746,10.264418601989746,4244800
2010-04-09,10.301207840737801,10.347195551952785,9.979295616518185,10.190837860107422,6394000
2010-04-12,10.23682906791825,10.604729129016551,10.135656770401951,10.475964546203613,5430200
2010-04-13,10.531146138566093,10.623121566401288,10.39318387395599,10.512751579284668,3505300
2010-04-14,10.816268572912016,11.331328479921561,10.770280861929077,11.312933921813965,13229100
2010-04-15,11.340527862512157,11.414107860030493,11.128985588932634,11.211762428283691,4938700
2010-04-16,11.14738247507843,11.248554773484935,10.88985243004364,11.083000183105469,5568900
2010-04-19,10.981825435879786,11.128986317695801,10.613925424196792,10.972628593444824,5062400
2010-04-20,11.055405305647671,11.220959857213193,10.917442156009876,11.165775299072266,2901800
2010-04-21,11.220956887617982,11.460092248656125,10.85305700689969,11.20256233215332,7726900
2010-04-22,11.414110808487823,12.297071883934338,10.85306296319671,12.01194953918457,19831200
2010-04-23,11.984354815908299,11.99355253606304,11.653244784623478,11.883182525634766,9045100
2010-04-26,11.901574756383999,12.269475596188222,11.901574756383999,12.048735618591309,9209900
2010-04-27,11.993549493685663,12.223487176369163,11.570464122462317,11.588859558105469,11530500
2010-04-28,11.690030958885533,11.772808658877599,11.36811787605919,11.552068710327148,7340200
2010-04-29,11.644045724634143,11.717625723119763,11.358923449788055,11.680835723876953,5444900
2010-04-30,11.717626453503208,11.717626453503208,11.202566431999124,11.248553276062012,5911800
2010-05-03,11.460098683807047,12.021146536231395,11.450900962338697,11.938368797302246,7010300
2010-05-04,11.846391225926864,11.846391225926864,11.009418080570216,11.138182640075684,8643200
2010-05-05,10.991023750477677,11.17497376627766,10.715098288206269,10.926641464233398,8626200
2010-05-06,10.816272068117392,10.99102437375143,9.46423784031699,10.393186569213867,9797200
2010-05-07,10.383989166306906,10.549544633551609,9.776953622600253,10.126459121704102,9364800
2010-05-10,10.770279505851887,10.935834893688469,10.59552727869079,10.917439460754395,7146600
2010-05-11,10.678305995426149,11.000219111909328,10.485158300964775,10.72429370880127,5995600
2010-05-12,10.80707244193285,11.230157866234656,10.80707244193285,11.211762428283691,5402900
2010-05-13,11.06460851864281,11.294546356636221,10.742696071737981,10.78868293762207,5664700
2010-05-14,10.632320820525166,10.632320820525166,10.006889926040506,10.292012214660645,8097400
2010-05-17,10.264418199185458,10.466763609184708,9.942505963926711,10.411578178405762,6095800
2010-05-18,10.558739437384267,10.641517155014318,9.933309449893555,9.970099449157715,9945000
2010-05-19,9.896517374290204,10.292009564117972,9.749357408108468,10.02528190612793,6453100
2010-05-20,9.675780204055892,10.043680225176981,9.409051592314553,9.694174766540527,12163300
2010-05-21,9.41825209430843,10.20004096656209,9.317079777899231,9.988497734069824,9116400
2010-05-24,9.795345193128643,10.09886287220749,9.694172925816584,9.850530624389648,5741200
2010-05-25,9.390654786754524,9.878122417587933,9.353864793430164,9.85972785949707,6657900
2010-05-26,9.970097839470146,10.236825510357404,9.79534471332247,9.85972785949707,7154800
2010-05-27,10.144850496783297,10.411578178405762,10.071270507173145,10.411578178405762,5253700
2010-05-28,10.411578038214023,10.475961186112986,9.951702670771457,10.098862648010254,4614200
2010-06-01,10.006889738509125,10.200037459530765,9.684976577758789,9.684976577758789,5672900
2010-06-02,9.822937391199336,10.034479623299935,9.684974265047018,10.02528190612793,4435500
2010-06-03,10.117255699372624,10.347193328903819,10.043675728094037,10.319601058959961,5800700
2010-06-04,10.006890820353167,10.20923628261872,9.611397616184785,9.666583061218262,6400600
