"rank_60d","ticker","contract","exchange","last_date","last_close","volatility_20d_pct","volatility_60d_pct","volatility_126d_pct","atr_14_pct","mean_abs_return_60d_pct","max_abs_return_60d_pct","max_drawdown_126d_pct","avg_dollar_volume_20d_m","bybit_turnover_24h_usdt","bybit_open_interest_usdt","bybit_spread_bps","bybit_funding_rate_pct"
"13","MRVL","MRVLUSDT","NASDAQ","2026-08-21","237.0399932861328","96.35237138831964","118.5930333445866","95.68390294021889","7.747358617065436","5.751795038490025","32.52063345268355","-48.34867016630264","5086.386033369522","1338515.8717","5016478.7","2.614151272220385","0.0"
"15","COHR","COHRUSDT","NYSE","2026-08-21","289.5199890136719","137.04253851572363","112.83648031911196","98.31708223448766","11.170612512336694","5.496758023246065","17.632962752323998","-47.98425930983051","2436.316324787903","559349.5022","842173.9","5.412329286114999","0.0053820000000000005"
"20","MU","MUUSDT","NASDAQ","2026-08-21","966.780029296875","97.17104651990284","104.78674390042644","93.95082660948843","6.903269568490819","5.0447386607180285","18.357235878826963","-39.095418440023124","34550.770407652584","10547094.9106","14554281.47","1.0680907877159846","0.0"
"23","LITE","LITEUSDT","NASDAQ","2026-08-21","866.7100219726562","119.8540491885814","102.80447965345101","102.7492210589098","9.344042156206887","5.433084972692317","15.089236877618205","-42.801660338988","4384.901667990417","488765.6609","1370356.67","2.658160552897725","0.0"
"25","GLW","GLWUSDT","NYSE","2026-08-21","149.83999633789062","89.36015693274939","99.80982002101698","88.02973668027718","7.75250655425935","4.986241101228677","15.670662253525336","-51.484218441358486","2007.1777734077455","106435.1244","422962.67","6.21139445805607","0.0"
"29","TER","TERUSDT","NASDAQ","2026-08-21","375.739990234375","86.45504494038454","96.3237127758889","89.33105320342518","7.665579977520618","4.7831438750479505","14.426594672661452","-33.98437374345365","1325.6367594737244","928402.2424","945359.95","17.474879860200588","0.24307199999999998"
"40","STX","STXXUSDT","NASDAQ","2026-08-21","850.0","84.16404718299182","86.66181889568473","76.78526375309019","8.183053119350694","4.338573035430734","12.235698947670937","-31.81039728717875","4444.797662694397","1732964.9605","240846.38","4.117568696789893","0.153806"
