Date,open,high,low,close,volume,ticker,rsi,is_new_low,is_pivot,f_rsi,f_stretch,f_dn,f_d200,f_atr,f_body,f_ret3,score,next_open,next_close,year
2010-04-30,18.53017288652081,18.55570722529283,17.525781099599335,17.585363388061523,15122000,MRVL,43.83916913407836,True,False,0.5892779422718907,1.0394182583357219,-0.5,-0.008000226673520183,0.7921264446499867,-2.2933914260673363,-0.44351334565057854,36.1518828098934,17.781129099632036,17.696012496948242,2010
2010-05-04,17.457691348714967,17.4662033383438,16.410740976808846,16.70865249633789,19914200,MRVL,36.17565413567353,True,False,0.0783769423782355,-0.3730621502365989,0.5,-0.25466736730399897,1.0323192593314596,-1.7741960293301051,-1.2545779401564552,38.68382827917823,16.470317314844028,16.52989959716797,2010
2010-05-05,16.470317314844028,17.02358345234619,16.342640763650515,16.52989959716797,17851100,MRVL,34.80688946280124,True,False,-0.012874035813250846,-0.48220267706494563,0.5,-0.3025787683590847,1.062801179607315,0.21874925494122288,-0.7502430910882513,37.79379071032283,16.51287965837539,16.05324363708496,2010
2010-05-06,16.51287965837539,16.844840720775185,14.691356303472428,16.05324363708496,21144100,MRVL,31.39560548192189,True,False,-0.24029296787187396,0.49399566511655485,1.5,-0.4340533684516251,1.5818864749438417,-0.5335957130654836,-1.1604089199096292,51.1462166836261,15.91705506607329,16.05324363708496,2010
2010-05-07,15.91705506607329,16.393715064614135,15.431881455411409,16.05324363708496,24431700,MRVL,31.39560548192189,True,True,-0.24029296787187396,0.4752697410967743,0.5,-0.43010594973324656,1.635157531799942,0.3539816287054024,-0.49032145126348403,47.94616488616157,16.95548475973716,16.929948806762695,2010
2010-06-30,13.806127768968407,13.916781987986996,13.380538927404697,13.414586067199709,16704400,MRVL,30.722382361202037,True,True,-0.28517450925319754,-0.6353928042087426,1.5,-1.0447610633253235,1.940276652998391,-1.825392860765082,-1.1586088482603853,46.762885831737755,13.406070154860336,13.874217987060549,2010
2010-12-13,16.725674764679788,16.87037532657608,16.26603873621241,16.300085067749023,12848900,MRVL,43.90744310548469,True,False,0.5938295403656458,2.391132777716813,1.5,0.15848052234857746,0.39021526084044045,-1.7605656504873237,-0.5907894126613008,47.911083613409325,16.334130089882315,16.283058166503906,2010
2010-12-14,16.334130089882315,16.615019174481326,16.121335279625626,16.283058166503906,8130300,MRVL,43.656448284008114,True,False,0.5770965522672076,2.3725442740989795,1.5,0.15152255991615626,0.3896678988521904,-0.2586266430330722,-0.39240769225445393,46.07200642538849,16.231989649219592,15.848959922790527,2010
2010-12-15,16.231989649219592,16.427760506516385,15.831935946461485,15.848959922790527,11469500,MRVL,37.73405566972907,True,False,0.18227037798193776,1.685948019540124,1.5,0.014043980997875405,0.47410489127238664,-1.6071413974348916,-0.6007132337904925,51.471661628546734,15.934072070221822,15.806395530700684,2010
2010-12-16,15.934072070221822,16.027702290168452,15.763837225358731,15.806395530700684,7891600,MRVL,37.20115252981074,True,True,0.14674350198738276,1.7120071802397117,1.5,0.0005723767309928629,0.4060388203664419,-1.2096764269761178,-0.3785942949042817,51.95686569652911,15.976637362953918,16.05324363708496,2010
2010-12-29,15.797880307380275,15.83192824347242,15.670203794024642,15.69573974609375,4007100,MRVL,37.171839515833,True,False,0.1447893010555333,0.9119942890155569,1.5,-0.0393766953822422,0.10435154654153747,-1.5789288761732194,-0.32356362202094063,47.892185104085804,15.670207170457996,15.636160850524902,2010
2010-12-30,15.670207170457996,15.695743128029296,15.48294835208772,15.636160850524902,5560100,MRVL,36.228731731378396,True,True,0.08191544875855973,0.39101633823367843,1.5,-0.057634053821824516,0.04892184487780953,-0.3999900817870748,-0.23370645207356489,44.56106915777375,15.627646744273816,15.789369583129885,2010
2011-01-04,15.797887125329597,15.94258766918022,15.278668863803183,15.423369407653809,29101600,MRVL,34.20432666642155,True,True,-0.053044888905229945,-0.4351808875779722,0.5,-0.12348046242781685,0.13462511945177488,-1.4102542157361433,-0.17011164449612232,41.35346723802793,15.287176191542173,15.797883987426758,2011
2011-02-23,15.491457202552464,15.49996756319181,15.227590564873564,15.295684814453123,14076900,MRVL,32.33226826871886,True,True,-0.17784878208540914,-0.44483095453663396,1.5,-0.25257172052301324,0.45159440577801824,-1.7968880385284995,-0.6900672284609568,46.70463560665987,15.355269802803056,15.329733848571776,2011
2011-03-04,14.248740667673454,14.470047470870952,13.610356220429146,13.729520797729492,60904000,MRVL,27.21369126405631,True,False,-0.5190872490629128,-0.5342519639270742,0.5,-0.7234268627450624,1.2465519022123475,-1.5099021587026984,-1.3110395773508143,46.476911791543316,13.806126321057947,13.457143783569336,2011
2011-03-07,13.806126321057947,13.848686256023065,13.32095442692424,13.457143783569336,23720500,MRVL,25.784649758595734,True,True,-0.6143566827602844,-0.5140216055852159,0.5,-0.8015156363695969,1.2799592240398108,-1.6532191079157927,-1.5147263367279826,47.68511628033475,13.491187166750642,13.780588150024414,2011
